Year,GeoCode,Value
2015,,37.3
2015,1.0,41.3
2015,2.0,38.8
2015,3.0,36.6
2015,4.0,35.6
2015,5.0,35.8
2015,6.0,37.5
2015,7.0,34.8
2015,8.0,32.5
2015,9.0,34.0
2015,10.0,36.0
2015,11.0,37.2
2015,12.0,37.6
2015,13.0,35.2
2015,14.0,36.3
2015,15.0,36.6
2015,16.0,34.2
2015,17.0,36.5
2015,18.0,35.5
2015,19.0,34.3
