Year,GeoCode,Value
8,2016,,9.89
11,2019,,9.14
21,2016,1,0
24,2019,1,0
34,2016,2,0
37,2019,2,0
47,2016,3,0
50,2019,3,0
60,2016,4,4.06
63,2019,4,6.98
73,2016,5,2.9
76,2019,5,4.66
86,2016,6,0
89,2019,6,0
99,2016,7,27.03
102,2019,7,25.25
112,2016,8,0
115,2019,8,0
125,2016,9,4.92
128,2019,9,3.22
138,2016,10,8.65
141,2019,10,8.42
151,2016,11,37.87
154,2019,11,26.31
164,2016,12,6.99
167,2019,12,5.34
177,2016,13,0
180,2019,13,8.28
190,2016,14,0
193,2019,14,3.63
203,2016,15,34.64
206,2019,15,29.88
216,2016,16,12.82
219,2019,16,15.59
229,2016,17,0
232,2019,17,0
242,2016,18,20.58
245,2019,18,9.11
255,2016,19,0
258,2019,19,4.12
268,2016,,0
271,2019,,0
281,2016,,0
284,2019,,0
294,2016,,0
297,2019,,0
307,2016,,0
310,2019,,0
320,2016,,0
323,2019,,0
333,2016,,0
336,2019,,0
346,2016,,0
349,2019,,0
359,2016,,0
362,2019,,0
372,2016,,0
375,2019,,0
385,2016,,0
388,2019,,0
398,2016,,0
401,2019,,0
411,2016,,0
414,2019,,0
424,2016,,0
427,2019,,0
437,2016,,0
440,2019,,0
450,2016,,0
453,2019,,0
463,2016,,0
466,2019,,0
476,2016,,0
479,2019,,0
489,2016,,0
492,2019,,0
502,2016,,0
505,2019,,0
515,2016,,0
518,2019,,0
528,2016,,0
531,2019,,0
541,2016,,0
544,2019,,0
554,2016,,0
557,2019,,0
567,2016,,0
570,2019,,0
580,2016,,0
583,2019,,0
593,2016,,0
596,2019,,0
606,2016,,0
609,2019,,0
619,2016,,0
622,2019,,0
632,2016,,0
635,2019,,0
645,2016,,0
648,2019,,0
658,2016,,0
661,2019,,0
671,2016,,0
674,2019,,0
684,2016,,0
687,2019,,0
697,2016,,0
700,2019,,0
710,2016,,0
713,2019,,0
723,2016,,0
726,2019,,0
736,2016,,0
739,2019,,0
749,2016,,0
752,2019,,0
762,2016,,0
765,2019,,0
775,2016,,0
778,2019,,0
788,2016,,0
791,2019,,0
801,2016,,0
804,2019,,0
814,2016,,0
817,2019,,0
827,2016,,0
830,2019,,0
840,2016,,0
843,2019,,0
853,2016,,0
856,2019,,0
866,2016,,0
869,2019,,0
879,2016,,0
882,2019,,0
892,2016,,0
895,2019,,0
905,2016,,0
908,2019,,0
918,2016,,0
921,2019,,0
931,2016,,0
934,2019,,0
944,2016,,0
947,2019,,0
957,2016,,0
960,2019,,0
970,2016,,0
973,2019,,0
983,2016,,0
986,2019,,0
996,2016,,0
999,2019,,0
1009,2016,,0
1012,2019,,0
1022,2016,,0
1025,2019,,0
1035,2016,,0
1038,2019,,0
1048,2016,,0
1051,2019,,0
1061,2016,,0
1064,2019,,0
1074,2016,,0
1077,2019,,0
1087,2016,,0
1090,2019,,0
1100,2016,,0
1103,2019,,0
1113,2016,,0
1116,2019,,0
1126,2016,,0
1129,2019,,0
1139,2016,,0
1142,2019,,0
1152,2016,,0
1155,2019,,0
1165,2016,,0
1168,2019,,0
1178,2016,,0
1181,2019,,0
1191,2016,,0
1194,2019,,0
1204,2016,,0
1207,2019,,0
1217,2016,,0
1220,2019,,0
1230,2016,,0
1233,2019,,0
1243,2016,,0
1246,2019,,0
1256,2016,,0
1259,2019,,0
1269,2016,,0
1272,2019,,0
1282,2016,,0
1285,2019,,0
1295,2016,,0
1298,2019,,0
1308,2016,,0
1311,2019,,0
1321,2016,,0
1324,2019,,0
1334,2016,,0
1337,2019,,0
1347,2016,,0
1350,2019,,0
1360,2016,,0
1363,2019,,0
1373,2016,,0
1376,2019,,0
1386,2016,,0
1389,2019,,0
1399,2016,,0
1402,2019,,0
1412,2016,,0
1415,2019,,0
1425,2016,,0
1428,2019,,0
1438,2016,,0
1441,2019,,0
1451,2016,,0
1454,2019,,0
1464,2016,,0
1467,2019,,0
1477,2016,,0
1480,2019,,0
1490,2016,,0
1493,2019,,0
1503,2016,,0
1506,2019,,0
1516,2016,,0
1519,2019,,0
1529,2016,,0
1532,2019,,0
1542,2016,,0
1545,2019,,0
1555,2016,,0
1558,2019,,0
1568,2016,,0
1571,2019,,0
1581,2016,,0
1584,2019,,0
1594,2016,,0
1597,2019,,0
1607,2016,,0
1610,2019,,0
1620,2016,,0
1623,2019,,0
1633,2016,,0
1636,2019,,0
1646,2016,,0
1649,2019,,0
1659,2016,,0
1662,2019,,0
1672,2016,,0
1675,2019,,0
1685,2016,,0
1688,2019,,0
1698,2016,,0
1701,2019,,0
1711,2016,,0
1714,2019,,0
1724,2016,,0
1727,2019,,0
1737,2016,,0
1740,2019,,0
1750,2016,,100
1753,2019,,100
1763,2016,,0
1766,2019,,0
1776,2016,,100
1779,2019,,100
1789,2016,,0
1792,2019,,0
1802,2016,,0
1805,2019,,0
1815,2016,,0
1818,2019,,0
1828,2016,,0
1831,2019,,0
1841,2016,,0
1844,2019,,0
1854,2016,,0
1857,2019,,0
1867,2016,,0
1870,2019,,0
1880,2016,,0
1883,2019,,0
1893,2016,,0
1896,2019,,0
1906,2016,,0
1909,2019,,0
1919,2016,,0
1922,2019,,0
1932,2016,,0
1935,2019,,0
1945,2016,,0
1948,2019,,0
1958,2016,,0
1961,2019,,0
1971,2016,,0
1974,2019,,0
1984,2016,,100
1987,2019,,100
1997,2016,,0
2000,2019,,0
2010,2016,,0
2013,2019,,0
2023,2016,,0
2026,2019,,0
2036,2016,,0
2039,2019,,0
2049,2016,,0
2052,2019,,0
2062,2016,,0
2065,2019,,0
2075,2016,,0
2078,2019,,0
2088,2016,,0
2091,2019,,0
2101,2016,,0
2104,2019,,0
2114,2016,,0
2117,2019,,0
2127,2016,,0
2130,2019,,0
2140,2016,,0
2143,2019,,0
2153,2016,,0
2156,2019,,0
2166,2016,,0
2169,2019,,0
2179,2016,,0
2182,2019,,0
2192,2016,,0
2195,2019,,0
2205,2016,,0
2208,2019,,0
2218,2016,,0
2221,2019,,0
2231,2016,,0
2234,2019,,0
2244,2016,,0
2247,2019,,0
2257,2016,,0
2260,2019,,0
2270,2016,,0
2273,2019,,0
2283,2016,,0
2286,2019,,0
2296,2016,,100
2299,2019,,100
