Year,GeoCode,Value
1035,2016,,3.1
1036,2017,,3
1037,2018,,3.1
1047,2015,,3.4
1048,2016,,3.1
1049,2017,,3.1
1050,2018,,3
1060,2015,,2.9
1061,2016,,3
1062,2017,,2.7
1063,2018,,2.6
1073,2015,,2.8
1074,2016,,2.8
1075,2017,,3
1076,2018,,2.9
1086,2015,,2.7
1087,2016,,2.6
1088,2017,,2.5
1089,2018,,2.5
1099,2015,,2.8
1100,2016,,2.6
1101,2017,,2.7
1102,2018,,2.7
1112,2015,,3.1
1113,2016,,3
1114,2017,,2.9
1115,2018,,2.9
1125,2015,,2.7
1126,2016,,2.6
1127,2017,,2.3
1128,2018,,2.3
1138,2015,,3.1
1139,2016,,3.3
1140,2017,,2.8
1141,2018,,2.6
1151,2015,,3.3
1152,2016,,3.6
1153,2017,,3.4
1154,2018,,2.9
1164,2015,,4.4
1165,2016,,4.1
1166,2017,,4.3
1167,2018,,3.7
1177,2015,,3.4
1178,2016,,3.5
1179,2017,,3.4
1180,2018,,3
1190,2015,,3.2
1191,2016,,3.5
1192,2017,,3
1193,2018,,3.1
1203,2015,,4.1
1204,2016,,3.9
1205,2017,,3.7
1206,2018,,4.3
1216,2015,,4.3
1217,2016,,5.4
1218,2017,,5
1219,2018,,3.6
1229,2015,,3.9
1230,2016,,3.5
1231,2017,,3.2
1242,2015,,3.3
1243,2016,,3.3
1244,2017,,3.3
1245,2018,,3.3
1255,2015,,3.8
1256,2016,,3.5
1257,2017,,3.4
1258,2018,,3.4
1268,2015,,3.4
1269,2016,,3
1270,2017,,3.1
1271,2018,,3
1281,2015,,3.5
1282,2016,,3.6
1283,2017,,3.3
1284,2018,,2.9
1294,2015,,2.9
1295,2016,,2.8
1296,2017,,2.7
1297,2018,,2.7
1307,2015,,4.2
1308,2016,,3.8
1309,2017,,3.7
1310,2018,,3.4
1320,2015,,3.1
1321,2016,,3
1322,2017,,3.3
1323,2018,,2.9
1333,2015,,3.2
1334,2016,,3.2
1335,2017,,3.5
1336,2018,,3.1
1346,2015,,2.7
1347,2016,,2.6
1348,2017,,2.6
1349,2018,,2.4
1359,2015,,3.2
1360,2016,,3
1361,2017,,3
1362,2018,,2.8
1372,2015,,4
1373,2016,,4.5
1374,2017,,4.3
1375,2018,,3.4
1385,2015,,3.6
1386,2016,,3.7
1387,2017,,3.3
1388,2018,,2.9
1398,2015,,3.1
1399,2016,,3.4
1400,2017,,3.2
1401,2018,,3.2
1411,2015,,3.9
1412,2016,,3.8
1413,2017,,3.5
1414,2018,,3.8
1424,2015,,3
1425,2016,,3.1
1426,2017,,3
1427,2018,,3
1437,2015,,3.3
1438,2016,,3.2
1439,2017,,2.8
1440,2018,,3
1450,2015,,3.1
1451,2016,,3.4
1452,2017,,3.2
1453,2018,,2.9
1463,2015,,3.8
1464,2016,,3.8
