Year,GeoCode,Value
1,2009,,61272
2,2010,,62332
3,2011,,63330
4,2012,,64129
5,2013,,65286
6,2014,,66615
7,2015,,67707
8,2016,,68753
9,2017,,69735
10,2018,,70769
11,2019,,71614
12,2020,,72655
13,2021,,73981
14,2009,1,2457
15,2010,1,2427
16,2011,1,2445
17,2012,1,2422
18,2013,1,2445
19,2014,1,2466
20,2015,1,2508
21,2016,1,2567
22,2017,1,2529
23,2018,1,2578
24,2019,1,2578
25,2020,1,2603
26,2021,1,2624
27,2009,2,4325
28,2010,2,4329
29,2011,2,4357
30,2012,2,4402
31,2013,2,4437
32,2014,2,4482
33,2015,2,4495
34,2016,2,4468
35,2017,2,4476
36,2018,2,4512
37,2019,2,4468
38,2020,2,4512
39,2021,2,4555
40,2009,3,5008
41,2010,3,4998
42,2011,3,4993
43,2012,3,4929
44,2013,3,4982
45,2014,3,4996
46,2015,3,5048
47,2016,3,5078
48,2017,3,5104
49,2018,3,5125
50,2019,3,5147
51,2020,3,5192
52,2021,3,5231
53,2009,4,2228
54,2010,4,2336
55,2011,4,2422
56,2012,4,2500
57,2013,4,2582
58,2014,4,2692
59,2015,4,2796
60,2016,4,2871
61,2017,4,2954
62,2018,4,3069
63,2019,4,3164
64,2020,4,3286
65,2021,4,3410
66,2009,5,4418
67,2010,5,4489
68,2011,5,4513
69,2012,5,4552
70,2013,5,4572
71,2014,5,4622
72,2015,5,4645
73,2016,5,4647
74,2017,5,4682
75,2018,5,4676
76,2019,5,4686
77,2020,5,4718
78,2021,5,4784
79,2009,6,2281
80,2010,6,2381
81,2011,6,2416
82,2012,6,2480
83,2013,6,2544
84,2014,6,2651
85,2015,6,2738
86,2016,6,2809
87,2017,6,2890
88,2018,6,2919
89,2019,6,2948
90,2020,6,2990
91,2021,6,3019
92,2009,7,4727
93,2010,7,4776
94,2011,7,4796
95,2012,7,4829
96,2013,7,4884
97,2014,7,4914
98,2015,7,4913
99,2016,7,4934
100,2017,7,4953
101,2018,7,4925
102,2019,7,4883
103,2020,7,4926
104,2021,7,4949
105,2009,8,3753
106,2010,8,3903
107,2011,8,4035
108,2012,8,4102
109,2013,8,4222
110,2014,8,4376
111,2015,8,4435
112,2016,8,4537
113,2017,8,4657
114,2018,8,4814
115,2019,8,4962
116,2020,8,5171
117,2021,8,5329
118,2009,9,3922
119,2010,9,3993
120,2011,9,4057
121,2012,9,4094
122,2013,9,4195
123,2014,9,4267
124,2015,9,4342
125,2016,9,4493
126,2017,9,4535
127,2018,9,4603
128,2019,9,4712
129,2020,9,4735
130,2021,9,4821
131,2009,10,5402
132,2010,10,5565
