Year,Gender,GeoCode,Value
1,2009,,,37391
2,2010,,,38269
3,2011,,,38884
4,2012,,,39346
5,2013,,,40077
6,2014,,,40770
7,2015,,,41301
8,2016,,,41953
9,2017,,,42570
10,2018,,,43140
11,2019,,,43644
12,2020,,,44303
13,2021,,,45352
14,2009,Home,,7863
15,2010,Home,,8044
16,2011,Home,,8276
17,2012,Home,,8460
18,2013,Home,,8733
19,2014,Home,,8985
20,2015,Home,,9296
21,2016,Home,,9630
22,2017,Home,,9973
23,2018,Home,,10290
24,2019,Home,,10536
25,2020,Home,,10773
26,2021,Home,,11176
27,2009,Dona,,29528
28,2010,Dona,,30225
29,2011,Dona,,30608
30,2012,Dona,,30886
31,2013,Dona,,31344
32,2014,Dona,,31785
33,2015,Dona,,32005
34,2016,Dona,,32323
35,2017,Dona,,32597
36,2018,Dona,,32850
37,2019,Dona,,33108
38,2020,Dona,,33530
39,2021,Dona,,34176
40,2009,,1,1710
41,2010,,1,1696
42,2011,,1,1704
43,2012,,1,1691
44,2013,,1,1697
45,2014,,1,1721
46,2015,,1,1762
47,2016,,1,1805
48,2017,,1,1791
49,2018,,1,1839
50,2019,,1,1858
51,2020,,1,1881
52,2021,,1,1865
53,2009,,2,2922
54,2010,,2,2937
55,2011,,2,2975
56,2012,,2,3016
57,2013,,2,3050
58,2014,,2,3072
59,2015,,2,3070
60,2016,,2,3044
61,2017,,2,3042
62,2018,,2,3061
63,2019,,2,3021
64,2020,,2,3062
65,2021,,2,3097
66,2009,,3,3255
67,2010,,3,3256
68,2011,,3,3249
69,2012,,3,3240
70,2013,,3,3271
71,2014,,3,3293
72,2015,,3,3314
73,2016,,3,3335
74,2017,,3,3366
75,2018,,3,3350
76,2019,,3,3373
77,2020,,3,3423
78,2021,,3,3470
79,2009,,4,1296
80,2010,,4,1371
81,2011,,4,1429
82,2012,,4,1473
83,2013,,4,1517
84,2014,,4,1577
85,2015,,4,1624
86,2016,,4,1670
87,2017,,4,1725
88,2018,,4,1785
89,2019,,4,1819
90,2020,,4,1891
91,2021,,4,1987
92,2009,,5,2764
93,2010,,5,2844
94,2011,,5,2864
95,2012,,5,2882
96,2013,,5,2893
97,2014,,5,2920
98,2015,,5,2914
99,2016,,5,2899
100,2017,,5,2944
101,2018,,5,2932
102,2019,,5,2926
103,2020,,5,2976
104,2021,,5,3010
105,2009,,6,1387
106,2010,,6,1450
107,2011,,6,1482
108,2012,,6,1548
109,2013,,6,1595
110,2014,,6,1654
111,2015,,6,1715
112,2016,,6,1752
113,2017,,6,1805
114,2018,,6,1832
115,2019,,6,1844
116,2020,,6,1868
117,2021,,6,1879
118,2009,,7,2884
119,2010,,7,2958
120,2011,,7,2921
121,2012,,7,2933
122,2013,,7,3013
123,2014,,7,3016
124,2015,,7,3027
125,2016,,7,3061
126,2017,,7,3103
127,2018,,7,3105
128,2019,,7,3080
129,2020,,7,3100
130,2021,,7,3147
131,2009,,8,2135
132,2010,,8,2246
133,2011,,8,2350
134,2012,,8,2390
135,2013,,8,2461
136,2014,,8,2541
137,2015,,8,2538
138,2016,,8,2601
139,2017,,8,2646
140,2018,,8,2733
141,2019,,8,2829
142,2020,,8,2920
143,2021,,8,3053
144,2009,,9,2311
145,2010,,9,2341
146,2011,,9,2377
147,2012,,9,2416
148,2013,,9,2493
149,2014,,9,2495
150,2015,,9,2543
151,2016,,9,2627
152,2017,,9,2628
153,2018,,9,2660
154,2019,,9,2735
155,2020,,9,2759
156,2021,,9,2845
157,2009,,10,3203
158,2010,,10,3332
159,2011,,10,3378
160,2012,,10,3442
161,2013,,10,3475
162,2014,,10,3574
163,2015,,10,3623
164,2016,,10,3693
165,2017,,10,3802
166,2018,,10,3808
167,2019,,10,3861
168,2020,,10,3882
169,2021,,10,4012
170,2009,,11,3065
171,2010,,11,3065
172,2011,,11,3088
173,2012,,11,3069
174,2013,,11,3087
175,2014,,11,3105
176,2015,,11,3113
177,2016,,11,3132
178,2017,,11,3142
179,2018,,11,3172
180,2019,,11,3184
181,2020,,11,3204
182,2021,,11,3265
183,2009,,12,2517
184,2010,,12,2618
185,2011,,12,2658
186,2012,,12,2684
187,2013,,12,2750
188,2014,,12,2836
189,2015,,12,2889
190,2016,,12,2936
191,2017,,12,2986
192,2018,,12,3049
193,2019,,12,3077
194,2020,,12,3147
195,2021,,12,3236
196,2009,,13,1533
197,2010,,13,1599
198,2011,,13,1676
199,2012,,13,1738
200,2013,,13,1816
201,2014,,13,1880
202,2015,,13,1971
203,2016,,13,2034
204,2017,,13,2062
205,2018,,13,2111
206,2019,,13,2154
207,2020,,13,2211
208,2021,,13,2300
209,2009,,14,1256
210,2010,,14,1282
211,2011,,14,1301
212,2012,,14,1316
213,2013,,14,1332
214,2014,,14,1355
215,2015,,14,1369
216,2016,,14,1418
217,2017,,14,1496
218,2018,,14,1540
219,2019,,14,1599
220,2020,,14,1622
221,2021,,14,1650
222,2009,,15,1939
223,2010,,15,2004
