Year,Gender,GeoCode,Value
1,2009,,,11356
2,2010,,,11837
3,2011,,,12309
4,2012,,,12439
5,2013,,,12444
6,2014,,,12729
7,2015,,,12851
8,2016,,,12946
9,2017,,,12879
10,2018,,,12853
11,2019,,,12772
12,2020,,,12722
13,2021,,,12768
14,2009,Home,,2240
15,2010,Home,,2276
16,2011,Home,,2343
17,2012,Home,,2315
18,2013,Home,,2315
19,2014,Home,,2292
20,2015,Home,,2221
21,2016,Home,,2183
22,2017,Home,,2187
23,2018,Home,,2117
24,2019,Home,,2104
25,2020,Home,,2127
26,2021,Home,,2062
27,2009,Dona,,9116
28,2010,Dona,,9561
29,2011,Dona,,9966
30,2012,Dona,,10124
31,2013,Dona,,10129
32,2014,Dona,,10437
33,2015,Dona,,10630
34,2016,Dona,,10763
35,2017,Dona,,10692
36,2018,Dona,,10736
37,2019,Dona,,10668
38,2020,Dona,,10595
39,2021,Dona,,10706
40,2009,,1,388
41,2010,,1,381
42,2011,,1,416
43,2012,,1,416
44,2013,,1,397
45,2014,,1,417
46,2015,,1,442
47,2016,,1,430
48,2017,,1,432
49,2018,,1,430
50,2019,,1,459
51,2020,,1,455
52,2021,,1,474
53,2009,,2,673
54,2010,,2,679
55,2011,,2,675
56,2012,,2,706
57,2013,,2,731
58,2014,,2,753
59,2015,,2,738
60,2016,,2,703
61,2017,,2,680
62,2018,,2,696
63,2019,,2,718
64,2020,,2,741
65,2021,,2,737
66,2009,,3,710
67,2010,,3,781
68,2011,,3,806
69,2012,,3,819
70,2013,,3,810
71,2014,,3,798
72,2015,,3,785
73,2016,,3,789
74,2017,,3,820
75,2018,,3,790
76,2019,,3,790
77,2020,,3,775
78,2021,,3,788
79,2009,,4,522
80,2010,,4,571
81,2011,,4,608
82,2012,,4,590
83,2013,,4,584
84,2014,,4,625
85,2015,,4,659
86,2016,,4,680
87,2017,,4,682
88,2018,,4,681
89,2019,,4,668
90,2020,,4,655
91,2021,,4,667
92,2009,,5,717
93,2010,,5,686
94,2011,,5,706
95,2012,,5,735
96,2013,,5,752
97,2014,,5,705
98,2015,,5,707
99,2016,,5,688
100,2017,,5,708
101,2018,,5,738
102,2019,,5,722
103,2020,,5,708
104,2021,,5,714
105,2009,,6,487
106,2010,,6,488
107,2011,,6,463
108,2012,,6,461
109,2013,,6,472
110,2014,,6,475
111,2015,,6,496
112,2016,,6,477
113,2017,,6,470
114,2018,,6,466
115,2019,,6,474
116,2020,,6,489
117,2021,,6,501
118,2009,,7,711
119,2010,,7,693
120,2011,,7,745
121,2012,,7,736
122,2013,,7,703
123,2014,,7,742
124,2015,,7,753
125,2016,,7,755
126,2017,,7,764
127,2018,,7,736
128,2019,,7,724
129,2020,,7,717
130,2021,,7,725
131,2009,,8,820
132,2010,,8,852
133,2011,,8,904
134,2012,,8,898
135,2013,,8,917
136,2014,,8,909
137,2015,,8,956
138,2016,,8,951
139,2017,,8,944
140,2018,,8,941
141,2019,,8,936
142,2020,,8,910
143,2021,,8,913
144,2009,,9,722
145,2010,,9,779
146,2011,,9,794
147,2012,,9,776
148,2013,,9,784
149,2014,,9,817
150,2015,,9,814
151,2016,,9,842
152,2017,,9,828
153,2018,,9,825
154,2019,,9,825
155,2020,,9,831
156,2021,,9,828
157,2009,,10,1024
158,2010,,10,1064
159,2011,,10,1116
160,2012,,10,1165
161,2013,,10,1146
162,2014,,10,1198
163,2015,,10,1193
164,2016,,10,1224
165,2017,,10,1178
166,2018,,10,1188
167,2019,,10,1173
168,2020,,10,1209
169,2021,,10,1201
170,2009,,11,765
171,2010,,11,842
