Year,Gender,GeoCode,Value
172,2011,,11,886
173,2012,,11,886
174,2013,,11,875
175,2014,,11,914
176,2015,,11,931
177,2016,,11,918
178,2017,,11,926
179,2018,,11,937
180,2019,,11,916
181,2020,,11,882
182,2021,,11,899
183,2009,,12,1004
184,2010,,12,1037
185,2011,,12,1124
186,2012,,12,1150
187,2013,,12,1156
188,2014,,12,1165
189,2015,,12,1159
190,2016,,12,1201
191,2017,,12,1180
192,2018,,12,1149
193,2019,,12,1116
194,2020,,12,1081
195,2021,,12,1090
196,2009,,13,562
197,2010,,13,575
198,2011,,13,556
199,2012,,13,522
200,2013,,13,490
201,2014,,13,480
202,2015,,13,482
203,2016,,13,474
204,2017,,13,485
205,2018,,13,482
206,2019,,13,479
207,2020,,13,454
208,2021,,13,456
209,2009,,14,425
210,2010,,14,443
211,2011,,14,454
212,2012,,14,436
213,2013,,14,428
214,2014,,14,395
215,2015,,14,417
216,2016,,14,411
217,2017,,14,398
218,2018,,14,393
219,2019,,14,387
220,2020,,14,393
221,2021,,14,396
222,2009,,15,715
223,2010,,15,753
224,2011,,15,764
225,2012,,15,773
226,2013,,15,811
227,2014,,15,887
228,2015,,15,864
229,2016,,15,903
230,2017,,15,879
231,2018,,15,907
232,2019,,15,853
233,2020,,15,873
234,2021,,15,876
235,2009,,16,576
236,2010,,16,613
237,2011,,16,676
238,2012,,16,735
239,2013,,16,762
240,2014,,16,769
241,2015,,16,762
242,2016,,16,794
243,2017,,16,795
244,2018,,16,789
245,2019,,16,802
246,2020,,16,788
247,2021,,16,774
248,2009,,17,77
249,2010,,17,87
250,2011,,17,85
251,2012,,17,84
252,2013,,17,87
253,2014,,17,97
254,2015,,17,104
255,2016,,17,100
256,2017,,17,113
257,2018,,17,111
258,2019,,17,110
259,2020,,17,122
260,2021,,17,107
261,2009,,18,180
262,2010,,18,213
263,2011,,18,210
264,2012,,18,230
265,2013,,18,232
266,2014,,18,236
267,2015,,18,251
268,2016,,18,249
269,2017,,18,256
270,2018,,18,250
271,2019,,18,272
272,2020,,18,280
273,2021,,18,256
274,2009,,19,278
275,2010,,19,300
276,2011,,19,321
277,2012,,19,321
278,2013,,19,307
279,2014,,19,347
280,2015,,19,338
281,2016,,19,357
282,2017,,19,341
283,2018,,19,344
284,2019,,19,348
285,2020,,19,359
286,2021,,19,366
287,2009,,,11
288,2010,,,13
289,2011,,,14
290,2012,,,13
291,2013,,,9
292,2014,,,13
293,2015,,,14
294,2016,,,15
295,2017,,,16
296,2018,,,17
297,2019,,,15
298,2020,,,15
299,2021,,,17
300,2009,,,12
301,2010,,,13
302,2011,,,20
303,2012,,,17
304,2013,,,16
305,2014,,,15
306,2015,,,16
307,2016,,,17
308,2017,,,17
309,2018,,,18
310,2019,,,15
311,2020,,,13
312,2021,,,15
313,2009,,,17
314,2010,,,17
315,2011,,,16
316,2012,,,20
317,2013,,,21
318,2014,,,18
319,2015,,,23
320,2016,,,21
321,2017,,,17
322,2018,,,15
323,2019,,,13
324,2020,,,14
325,2021,,,15
326,2009,,,17
327,2010,,,18
328,2011,,,14
329,2012,,,18
330,2013,,,20
331,2014,,,19
332,2015,,,18
333,2016,,,18
334,2017,,,14
335,2018,,,13
336,2019,,,17
337,2020,,,14
338,2021,,,15
339,2009,,,11
340,2010,,,12
341,2011,,,18
342,2012,,,20
343,2013,,,18
344,2014,,,22
345,2015,,,20
346,2016,,,21
347,2017,,,21
348,2018,,,17
349,2019,,,17
350,2020,,,14
351,2021,,,18
352,2009,,,15
353,2010,,,13
354,2011,,,17
355,2012,,,15
356,2013,,,18
357,2014,,,21
358,2015,,,17
359,2016,,,19
360,2017,,,18
361,2018,,,20
362,2019,,,20
363,2020,,,16
364,2021,,,16
365,2009,,,14
366,2010,,,19
367,2011,,,19
368,2012,,,19
369,2013,,,19
370,2014,,,15
371,2015,,,15
372,2016,,,12
373,2017,,,12
374,2018,,,13
375,2019,,,10
376,2020,,,8
377,2021,,,8
378,2009,,,23
379,2010,,,22
380,2011,,,16
381,2012,,,18
382,2013,,,14
383,2014,,,15
384,2015,,,21
385,2016,,,20
386,2017,,,14
387,2018,,,10
388,2019,,,16
389,2020,,,15
390,2021,,,18
391,2009,,,38
392,2010,,,29
393,2011,,,37
394,2012,,,35
395,2013,,,30
396,2014,,,30
397,2015,,,34
398,2016,,,33
399,2017,,,32
400,2018,,,29
401,2019,,,33
402,2020,,,33
403,2021,,,29
404,2009,,,14
405,2010,,,15
406,2011,,,18
407,2012,,,21
408,2013,,,21
409,2014,,,25
410,2015,,,21
411,2016,,,20
412,2017,,,21
413,2018,,,21
414,2019,,,18
415,2020,,,19
416,2021,,,18
417,2009,,,10
418,2010,,,9
419,2011,,,9
420,2012,,,11
421,2013,,,11
422,2014,,,14
423,2015,,,13
424,2016,,,13
425,2017,,,12
426,2018,,,14
427,2019,,,26
428,2020,,,34
429,2021,,,35
430,2009,,,12
431,2010,,,12
432,2011,,,18
433,2012,,,14
434,2013,,,20
435,2014,,,18
436,2015,,,18
437,2016,,,12
438,2017,,,18
439,2018,,,15
440,2019,,,20
441,2020,,,20
442,2021,,,21
443,2009,,,6
444,2010,,,8
445,2011,,,12
446,2012,,,12
447,2013,,,9
448,2014,,,9
449,2015,,,10
450,2016,,,9
451,2017,,,12
452,2018,,,11
453,2019,,,11
454,2020,,,10
455,2021,,,12
456,2009,,,26
457,2010,,,27
458,2011,,,34
459,2012,,,25
460,2013,,,26
461,2014,,,36
462,2015,,,41
463,2016,,,36
464,2017,,,43
465,2018,,,49
466,2019,,,49
467,2020,,,52
468,2021,,,52
469,2009,,,25
470,2010,,,24
471,2011,,,16
472,2012,,,15
473,2013,,,18
474,2014,,,19
475,2015,,,22
476,2016,,,25
477,2017,,,23
478,2018,,,23
479,2019,,,26
480,2020,,,27
481,2021,,,26
482,2009,,,14
483,2010,,,18
484,2011,,,18
485,2012,,,16
486,2013,,,16
487,2014,,,17
488,2015,,,16
489,2016,,,17
490,2017,,,14
491,2018,,,15
492,2019,,,26
493,2020,,,26
494,2021,,,21
495,2009,,,5
496,2010,,,4
497,2011,,,7
498,2012,,,10
499,2013,,,10
500,2014,,,8
501,2015,,,11
502,2016,,,15
503,2017,,,17
504,2018,,,19
505,2019,,,17
506,2020,,,19
507,2021,,,20
508,2009,,,18
509,2010,,,16
510,2011,,,11
511,2012,,,15
512,2013,,,13
513,2014,,,17
514,2015,,,21
515,2016,,,21
516,2017,,,18
517,2018,,,21
518,2019,,,14
519,2020,,,13
520,2021,,,15
521,2009,,,16
522,2010,,,20
523,2011,,,15
524,2012,,,18
525,2013,,,13
526,2014,,,13
527,2015,,,19
528,2016,,,15
529,2017,,,18
530,2018,,,21
531,2019,,,22
532,2020,,,24
533,2021,,,26
534,2009,,,6
535,2010,,,6
536,2011,,,8
537,2012,,,8
538,2013,,,7
539,2014,,,12
540,2015,,,6
541,2016,,,11
542,2017,,,11
543,2018,,,7
544,2019,,,10
545,2020,,,10
546,2021,,,13
547,2009,,,10
548,2010,,,9
549,2011,,,12
550,2012,,,14
551,2013,,,8
552,2014,,,6
553,2015,,,3
554,2016,,,6
555,2017,,,7
556,2018,,,8
557,2019,,,7
558,2020,,,6
559,2021,,,6
560,2009,,,16
561,2010,,,12
562,2011,,,11
563,2012,,,9
564,2013,,,8
565,2014,,,8
566,2015,,,13
567,2016,,,13
568,2017,,,10
569,2018,,,10
570,2019,,,11
571,2020,,,12
572,2021,,,10
573,2009,,,14
574,2010,,,12
575,2011,,,14
576,2012,,,15
577,2013,,,16
578,2014,,,13
579,2015,,,11
580,2016,,,8
581,2017,,,16
582,2018,,,15
583,2019,,,15
584,2020,,,14
585,2021,,,17
586,2009,,,30
587,2010,,,21
588,2011,,,26
589,2012,,,27
590,2013,,,28
591,2014,,,23
592,2015,,,28
593,2016,,,25
594,2017,,,20
595,2018,,,20
596,2019,,,31
597,2020,,,27
598,2021,,,31
599,2009,,,14
600,2010,,,17
601,2011,,,14
602,2012,,,18
603,2013,,,15
604,2014,,,14
605,2015,,,13
606,2016,,,13
607,2017,,,16
608,2018,,,15
609,2019,,,15
610,2020,,,14
611,2021,,,16
612,2009,,,10
613,2010,,,11
614,2011,,,14
615,2012,,,13
616,2013,,,19
617,2014,,,21
618,2015,,,18
619,2016,,,15
620,2017,,,15
621,2018,,,15
622,2019,,,15
623,2020,,,16
624,2021,,,18
625,2009,,,19
626,2010,,,20
627,2011,,,23
628,2012,,,31
629,2013,,,24
630,2014,,,25
631,2015,,,24
632,2016,,,23
633,2017,,,27
634,2018,,,28
635,2019,,,28
636,2020,,,27
637,2021,,,29
638,2009,,,25
639,2010,,,26
640,2011,,,26
641,2012,,,30
642,2013,,,23
643,2014,,,25
644,2015,,,22
645,2016,,,19
646,2017,,,21
647,2018,,,20
648,2019,,,21
649,2020,,,21
650,2021,,,21
651,2009,,,29
652,2010,,,34
653,2011,,,33
654,2012,,,35
655,2013,,,34
656,2014,,,27
657,2015,,,29
658,2016,,,28
659,2017,,,32
660,2018,,,26
661,2019,,,26
662,2020,,,20
663,2021,,,23
664,2009,,,17
665,2010,,,21
666,2011,,,22
667,2012,,,22
668,2013,,,21
669,2014,,,18
670,2015,,,15
671,2016,,,15
672,2017,,,14
673,2018,,,20
674,2019,,,17
675,2020,,,22
676,2021,,,22
677,2009,,,20
678,2010,,,16
679,2011,,,16
680,2012,,,19
681,2013,,,22
682,2014,,,24
683,2015,,,25
684,2016,,,24
685,2017,,,21
686,2018,,,17
687,2019,,,21
688,2020,,,22
689,2021,,,25
690,2009,,,28
691,2010,,,25
692,2011,,,25
693,2012,,,25
694,2013,,,27
695,2014,,,24
696,2015,,,28
697,2016,,,28
698,2017,,,32
699,2018,,,39
700,2019,,,32
701,2020,,,34
702,2021,,,30
703,2009,,,7
704,2010,,,7
705,2011,,,4
706,2012,,,4
707,2013,,,8
708,2014,,,14
709,2015,,,13
710,2016,,,11
711,2017,,,12
712,2018,,,14
713,2019,,,15
714,2020,,,15
715,2021,,,14
716,2009,,,22
717,2010,,,23
718,2011,,,25
719,2012,,,21
720,2013,,,23
721,2014,,,27
722,2015,,,29
723,2016,,,24
724,2017,,,23
725,2018,,,20
726,2019,,,19
727,2020,,,24
728,2021,,,21
729,2009,,,24
730,2010,,,33
731,2011,,,26
732,2012,,,24
733,2013,,,25
734,2014,,,29
735,2015,,,28
736,2016,,,33
737,2017,,,25
738,2018,,,27
739,2019,,,28
740,2020,,,32
741,2021,,,35
742,2009,,,9
743,2010,,,10
744,2011,,,10
745,2012,,,8
746,2013,,,8
747,2014,,,10
748,2015,,,14
749,2016,,,11
750,2017,,,5
751,2018,,,6
752,2019,,,7
753,2020,,,4
754,2021,,,7
755,2009,,,20
756,2010,,,18
757,2011,,,22
758,2012,,,17
759,2013,,,24
760,2014,,,25
761,2015,,,28
762,2016,,,29
763,2017,,,24
764,2018,,,26
765,2019,,,25
766,2020,,,22
767,2021,,,20
768,2009,,,23
769,2010,,,23
770,2011,,,16
771,2012,,,19
772,2013,,,13
773,2014,,,13
774,2015,,,16
775,2016,,,16
776,2017,,,13
777,2018,,,14
778,2019,,,19
779,2020,,,24
780,2021,,,21
781,2009,,,14
782,2010,,,16
783,2011,,,17
784,2012,,,16
785,2013,,,17
786,2014,,,24
787,2015,,,20
788,2016,,,19
789,2017,,,18
790,2018,,,15
791,2019,,,19
792,2020,,,18
793,2021,,,13
794,2009,,,19
795,2010,,,18
796,2011,,,12
797,2012,,,13
798,2013,,,18
799,2014,,,17
800,2015,,,16
801,2016,,,13
802,2017,,,17
803,2018,,,13
804,2019,,,12
805,2020,,,13
806,2021,,,14
807,2009,,,24
808,2010,,,27
809,2011,,,24
810,2012,,,27
811,2013,,,27
812,2014,,,25
813,2015,,,27
814,2016,,,26
815,2017,,,28
816,2018,,,27
817,2019,,,24
818,2020,,,22
819,2021,,,22
820,2009,,,11
821,2010,,,11
822,2011,,,13
823,2012,,,11
824,2013,,,13
825,2014,,,11
826,2015,,,17
827,2016,,,13
828,2017,,,13
829,2018,,,13
830,2019,,,13
831,2020,,,12
832,2021,,,18
833,2009,,,10
834,2010,,,10
835,2011,,,12
836,2012,,,12
837,2013,,,10
838,2014,,,11
839,2015,,,9
840,2016,,,10
841,2017,,,11
842,2018,,,11
843,2019,,,9
844,2020,,,13
845,2021,,,15
846,2009,,,16
847,2010,,,17
848,2011,,,19
849,2012,,,23
850,2013,,,21
851,2014,,,21
852,2015,,,21
853,2016,,,21
854,2017,,,21
855,2018,,,20
856,2019,,,17
857,2020,,,19
858,2021,,,22
859,2009,,,11
860,2010,,,10
861,2011,,,8
862,2012,,,13
863,2013,,,19
864,2014,,,20
865,2015,,,19
866,2016,,,17
867,2017,,,19
868,2018,,,14
869,2019,,,16
870,2020,,,15
871,2021,,,15
872,2009,,,12
873,2010,,,16
874,2011,,,16
875,2012,,,17
876,2013,,,19
877,2014,,,16
878,2015,,,18
879,2016,,,23
880,2017,,,19
881,2018,,,21
882,2019,,,22
883,2020,,,21
884,2021,,,24
885,2009,,,16
886,2010,,,15
887,2011,,,13
888,2012,,,14
889,2013,,,12
890,2014,,,12
891,2015,,,12
892,2016,,,12
893,2017,,,11
894,2018,,,12
895,2019,,,13
896,2020,,,12
897,2021,,,13
898,2009,,,15
899,2010,,,15
900,2011,,,18
901,2012,,,19
902,2013,,,18
903,2014,,,19
904,2015,,,20
905,2016,,,23
906,2017,,,21
907,2018,,,22
908,2019,,,22
909,2020,,,28
910,2021,,,32
911,2009,,,14
912,2010,,,13
913,2011,,,14
914,2012,,,15
915,2013,,,14
916,2014,,,15
917,2015,,,11
918,2016,,,9
919,2017,,,7
920,2018,,,10
921,2019,,,12
922,2020,,,9
923,2021,,,11
924,2009,,,9
925,2010,,,5
926,2011,,,6
927,2012,,,9
928,2013,,,12
929,2014,,,13
930,2015,,,14
931,2016,,,12
932,2017,,,11
933,2018,,,13
934,2019,,,13
935,2020,,,14
936,2021,,,13
937,2009,,,25
938,2010,,,19
939,2011,,,22
940,2012,,,22
941,2013,,,18
942,2014,,,19
943,2015,,,21
944,2016,,,17
945,2017,,,14
946,2018,,,12
947,2019,,,15
948,2020,,,24
949,2021,,,22
950,2009,,,5
951,2010,,,6
952,2011,,,10
953,2012,,,13
954,2013,,,15
955,2014,,,15
956,2015,,,12
957,2016,,,9
958,2017,,,5
959,2018,,,6
960,2019,,,5
961,2020,,,8
962,2021,,,8
963,2009,,,7
964,2010,,,9
965,2011,,,11
966,2012,,,13
967,2013,,,11
968,2014,,,11
969,2015,,,13
970,2016,,,8
971,2017,,,10
972,2018,,,11
973,2019,,,11
974,2020,,,9
975,2021,,,8
976,2009,,,9
977,2010,,,7
978,2011,,,9
979,2012,,,10
980,2013,,,13
981,2014,,,16
982,2015,,,17
983,2016,,,17
984,2017,,,16
985,2018,,,18
986,2019,,,21
987,2020,,,16
988,2021,,,14
989,2009,,,20
990,2010,,,24
991,2011,,,23
992,2012,,,21
993,2013,,,24
994,2014,,,21
995,2015,,,18
996,2016,,,20
997,2017,,,19
998,2018,,,20
999,2019,,,24
1000,2020,,,25
1001,2021,,,21
1002,2009,,,6
1003,2010,,,5
1004,2011,,,5
1005,2012,,,4
1006,2013,,,2
1007,2014,,,6
1008,2015,,,10
1009,2016,,,11
1010,2017,,,13
1011,2018,,,12
1012,2019,,,12
1013,2020,,,10
1014,2021,,,9
1015,2009,,,13
1016,2010,,,11
1017,2011,,,14
1018,2012,,,18
1019,2013,,,19
1020,2014,,,20
1021,2015,,,18
1022,2016,,,17
1023,2017,,,13
1024,2018,,,13
1025,2019,,,12
1026,2020,,,11
1027,2021,,,10
1028,2009,,,22
1029,2010,,,20
1030,2011,,,18
1031,2012,,,18
1032,2013,,,21
1033,2014,,,22
1034,2015,,,19
1035,2016,,,15
1036,2017,,,15
1037,2018,,,14
1038,2019,,,19
1039,2020,,,20
1040,2021,,,19
1041,2009,,,12
1042,2010,,,11
1043,2011,,,12
1044,2012,,,16
1045,2013,,,17
1046,2014,,,17
1047,2015,,,12
1048,2016,,,12
1049,2017,,,13
1050,2018,,,13
1051,2019,,,13
1052,2020,,,13
1053,2021,,,6
1054,2009,,,11
1055,2010,,,6
1056,2011,,,9
1057,2012,,,10
1058,2013,,,8
1059,2014,,,6
1060,2015,,,8
1061,2016,,,11
1062,2017,,,11
1063,2018,,,14
1064,2019,,,14
1065,2020,,,18
1066,2021,,,13
1067,2009,,,20
1068,2010,,,17
1069,2011,,,12
1070,2012,,,12
1071,2013,,,22
1072,2014,,,15
1073,2015,,,13
1074,2016,,,15
1075,2017,,,14
1076,2018,,,15
1077,2019,,,19
1078,2020,,,17
1079,2021,,,16
1080,2009,,,25
1081,2010,,,25
1082,2011,,,17
1083,2012,,,19
1084,2013,,,21
1085,2014,,,26
1086,2015,,,19
1087,2016,,,17
1088,2017,,,15
1089,2018,,,19
1090,2019,,,20
1091,2020,,,19
1092,2021,,,18
1093,2009,,,10
1094,2010,,,9
1095,2011,,,12
1096,2012,,,12
1097,2013,,,15
1098,2014,,,14
1099,2015,,,13
1100,2016,,,11
1101,2017,,,11
1102,2018,,,11
1103,2019,,,11
1104,2020,,,10
1105,2021,,,11
1106,2009,,,10
1107,2010,,,10
1108,2011,,,11
1109,2012,,,9
1110,2013,,,6
1111,2014,,,9
1112,2015,,,6
1113,2016,,,5
1114,2017,,,4
1115,2018,,,4
1116,2019,,,4
1117,2020,,,5
1118,2021,,,4
1119,2009,,,24
1120,2010,,,24
1121,2011,,,23
1122,2012,,,21
1123,2013,,,20
1124,2014,,,22
1125,2015,,,20
1126,2016,,,17
1127,2017,,,18
1128,2018,,,22
1129,2019,,,24
1130,2020,,,26
1131,2021,,,28
1132,2009,,,16
1133,2010,,,19
1134,2011,,,19
1135,2012,,,13
1136,2013,,,13
1137,2014,,,14
1138,2015,,,13
1139,2016,,,14
1140,2017,,,13
1141,2018,,,14
1142,2019,,,14
1143,2020,,,17
1144,2021,,,16
1145,2009,,,15
1146,2010,,,17
1147,2011,,,14
1148,2012,,,10
1149,2013,,,9
1150,2014,,,12
1151,2015,,,13
1152,2016,,,11
1153,2017,,,15
1154,2018,,,10
1155,2019,,,15
1156,2020,,,14
1157,2021,,,10
1158,2009,,,23
1159,2010,,,28
1160,2011,,,30
1161,2012,,,25
1162,2013,,,24
1163,2014,,,29
1164,2015,,,27
1165,2016,,,26
1166,2017,,,27
1167,2018,,,27
1168,2019,,,32
1169,2020,,,35
1170,2021,,,34
1171,2009,,,27
1172,2010,,,31
1173,2011,,,31
1174,2012,,,32
1175,2013,,,38
1176,2014,,,34
1177,2015,,,32
1178,2016,,,30
1179,2017,,,35
1180,2018,,,37
1181,2019,,,39
1182,2020,,,38
1183,2021,,,40
1184,2009,,,12
1185,2010,,,17
1186,2011,,,14
1187,2012,,,14
1188,2013,,,12
1189,2014,,,11
1190,2015,,,14
1191,2016,,,13
1192,2017,,,15
1193,2018,,,12
1194,2019,,,15
1195,2020,,,14
1196,2021,,,13
1197,2009,,,18
1198,2010,,,23
1199,2011,,,23
1200,2012,,,23
1201,2013,,,24
1202,2014,,,21
1203,2015,,,25
1204,2016,,,26
1205,2017,,,23
1206,2018,,,22
1207,2019,,,26
1208,2020,,,27
1209,2021,,,24
1210,2009,,,18
1211,2010,,,24
1212,2011,,,27
1213,2012,,,31
1214,2013,,,29
1215,2014,,,26
1216,2015,,,24
1217,2016,,,28
1218,2017,,,30
1219,2018,,,24
1220,2019,,,20
1221,2020,,,19
1222,2021,,,21
1223,2009,,,14
1224,2010,,,12
1225,2011,,,10
1226,2012,,,8
1227,2013,,,13
1228,2014,,,15
1229,2015,,,19
1230,2016,,,18
1231,2017,,,20
1232,2018,,,14
1233,2019,,,31
1234,2020,,,28
1235,2021,,,28
1236,2009,,,18
1237,2010,,,16
1238,2011,,,17
1239,2012,,,18
1240,2013,,,16
1241,2014,,,15
1242,2015,,,17
1243,2016,,,21
1244,2017,,,19
1245,2018,,,18
1246,2019,,,21
1247,2020,,,23
1248,2021,,,23
1249,2009,,,22
1250,2010,,,28
1251,2011,,,33
1252,2012,,,30
1253,2013,,,30
1254,2014,,,29
1255,2015,,,29
1256,2016,,,33
1257,2017,,,24
1258,2018,,,19
1259,2019,,,20
1260,2020,,,22
1261,2021,,,21
1262,2009,,,12
1263,2010,,,18
1264,2011,,,18
1265,2012,,,16
1266,2013,,,12
1267,2014,,,17
1268,2015,,,15
1269,2016,,,15
1270,2017,,,15
1271,2018,,,16
1272,2019,,,16
1273,2020,,,18
1274,2021,,,18
1275,2009,,,22
1276,2010,,,21
1277,2011,,,20
1278,2012,,,23
1279,2013,,,21
1280,2014,,,20
1281,2015,,,20
1282,2016,,,23
1283,2017,,,25
1284,2018,,,20
1285,2019,,,20
1286,2020,,,15
1287,2021,,,16
1288,2009,,,19
1289,2010,,,22
1290,2011,,,23
1291,2012,,,21
1292,2013,,,21
1293,2014,,,21
1294,2015,,,21
1295,2016,,,24
1296,2017,,,29
1297,2018,,,24
1298,2019,,,20
1299,2020,,,20
1300,2021,,,18
1301,2009,,,28
1302,2010,,,31
1303,2011,,,30
1304,2012,,,30
1305,2013,,,36
1306,2014,,,28
1307,2015,,,25
1308,2016,,,27
1309,2017,,,25
1310,2018,,,22
1311,2019,,,15
1312,2020,,,21
1313,2021,,,23
1314,2009,,,14
1315,2010,,,16
1316,2011,,,16
1317,2012,,,17
1318,2013,,,19
1319,2014,,,14
1320,2015,,,11
1321,2016,,,13
1322,2017,,,19
1323,2018,,,16
1324,2019,,,14
1325,2020,,,18
1326,2021,,,16
1327,2009,,,13
1328,2010,,,14
1329,2011,,,19
1330,2012,,,21
1331,2013,,,19
1332,2014,,,18
1333,2015,,,10
1334,2016,,,9
1335,2017,,,15
1336,2018,,,20
1337,2019,,,17
1338,2020,,,19
1339,2021,,,18
1340,2009,,,12
1341,2010,,,14
1342,2011,,,15
1343,2012,,,21
1344,2013,,,28
1345,2014,,,23
1346,2015,,,24
1347,2016,,,22
1348,2017,,,20
1349,2018,,,18
1350,2019,,,20
1351,2020,,,15
1352,2021,,,16
1353,2009,,,13
1354,2010,,,15
1355,2011,,,15
1356,2012,,,13
1357,2013,,,10
1358,2014,,,8
1359,2015,,,10
1360,2016,,,35
1361,2017,,,36
1362,2018,,,31
1363,2019,,,37
1364,2020,,,37
1365,2021,,,39
1366,2009,,,7
1367,2010,,,8
1368,2011,,,15
1369,2012,,,15
1370,2013,,,16
1371,2014,,,14
1372,2015,,,18
1373,2016,,,12
1374,2017,,,16
1375,2018,,,14
1376,2019,,,12
1377,2020,,,12
1378,2021,,,14
1379,2009,,,14
1380,2010,,,16
1381,2011,,,16
1382,2012,,,18
1383,2013,,,17
1384,2014,,,16
1385,2015,,,18
1386,2016,,,20
1387,2017,,,17
1388,2018,,,20
1389,2019,,,25
1390,2020,,,20
1391,2021,,,19
1392,2009,,,9
1393,2010,,,7
1394,2011,,,8
1395,2012,,,13
1396,2013,,,12
1397,2014,,,15
1398,2015,,,14
1399,2016,,,11
1400,2017,,,8
1401,2018,,,7
1402,2019,,,10
1403,2020,,,11
1404,2021,,,15
1405,2009,,,14
1406,2010,,,12
1407,2011,,,12
1408,2012,,,14
1409,2013,,,15
1410,2014,,,11
1411,2015,,,14
1412,2016,,,13
1413,2017,,,14
1414,2018,,,15
1415,2019,,,12
1416,2020,,,12
1417,2021,,,17
1418,2009,,,11
1419,2010,,,15
1420,2011,,,14
1421,2012,,,18
1422,2013,,,19
1423,2014,,,21
1424,2015,,,27
1425,2016,,,17
1426,2017,,,20
1427,2018,,,21
1428,2019,,,19
1429,2020,,,21
1430,2021,,,21
1431,2009,,,26
1432,2010,,,30
1433,2011,,,32
1434,2012,,,27
1435,2013,,,26
1436,2014,,,26
1437,2015,,,24
1438,2016,,,26
1439,2017,,,28
1440,2018,,,30
1441,2019,,,27
1442,2020,,,28
1443,2021,,,28
1444,2009,,,20
1445,2010,,,26
1446,2011,,,21
1447,2012,,,24
1448,2013,,,23
1449,2014,,,26
1450,2015,,,25
1451,2016,,,27
1452,2017,,,19
1453,2018,,,20
1454,2019,,,23
1455,2020,,,19
1456,2021,,,22
1457,2009,,,14
1458,2010,,,19
