Year,Sexo,Edad,Distrito,Value
2014,,,17.0,696
2015,,,17.0,644
2016,,,17.0,603
2017,,,17.0,561
2018,,,17.0,524
2019,,,17.0,319
2020,,,17.0,380
2009,,,18.0,1367
2010,,,18.0,1561
2011,,,18.0,1690
2012,,,18.0,1885
2013,,,18.0,1968
2014,,,18.0,1881
2015,,,18.0,927
2016,,,18.0,1114
2017,,,18.0,1027
2018,,,18.0,952
2019,,,18.0,1164
2020,,,18.0,1351
2009,,,19.0,1517
2010,,,19.0,1749
2011,,,19.0,1879
2012,,,19.0,2078
2013,,,19.0,2085
2014,,,19.0,1931
2015,,,19.0,1811
2016,,,19.0,1687
2017,,,19.0,1580
2018,,,19.0,1448
2019,,,19.0,1387
2020,,,19.0,1633
