Year,Value,GeoCode
2015,37.3,
2015,41.3,1.0
2015,38.8,2.0
2015,36.6,3.0
2015,35.6,4.0
2015,35.8,5.0
2015,37.5,6.0
2015,34.8,7.0
2015,32.5,8.0
2015,34.0,9.0
2015,36.0,10.0
2015,37.2,11.0
2015,37.6,12.0
2015,35.2,13.0
2015,36.3,14.0
2015,36.6,15.0
2015,34.2,16.0
2015,36.5,17.0
2015,35.5,18.0
2015,34.3,19.0
